Current Time,Latitude,Longitude,Turbidity (NTU),Temperature (°C),Humidity (%),Litter dection,Litter Type
13:56:47,50.4325155,-104.5263092,0.5870235298,24,20,0,NULL
13:57:20,50.4336465,-104.5262984,0.468611713,24,20,0,NULL
13:57:53,50.4342684,-104.5295063,0.3885006256,24,17,0,NULL
13:58:26,50.434757,-104.531171,0.2478102969,24,17,0,NULL
13:58:59,50.434757,-104.5311908,0.2493362224,24,20,0,NULL
13:59:31,50.4347536,-104.5311747,0.3804132206,24,18,0,NULL
14:00:04,50.4347553,-104.5311653,0.5362102115,24,16,0,NULL
14:00:37,50.4347553,-104.5311814,0.4591509751,24,16,0,NULL
14:01:10,50.4348826,-104.5317286,0.2600177007,24,16,0,NULL
14:01:43,50.4350859,-104.5324273,0.2600177007,24,16,0,NULL
14:02:15,50.4356189,-104.5343102,0.2600177007,25,16,0,NULL
14:02:48,50.4365791,-104.536751,0.2600177007,26,16,0,NULL
14:03:21,50.4372829,-104.5384032,0.2600177007,26,17,0,NULL
14:03:54,50.436333,-104.5394493,0.3971984008,26,15,0,NULL
14:04:27,50.435759,-104.5398141,0.4585406049,27,13,0,NULL
14:04:59,50.435735,-104.539836,0.2632221442,27,13,1,bottle
14:05:32,50.4355728,-104.5412866,0.2600177007,27,13,0,NULL
14:06:05,50.4362647,-104.5428933,0.2632221442,27,13,0,NULL
14:06:38,50.435991,-104.543224,0.2632221442,28,13,0,NULL
14:07:11,50.4351611,-104.5436255,0.2632221442,28,14,0,NULL
14:07:43,50.4355079,-104.5454279,0.4661702322,28,12,0,NULL
14:08:16,50.4355677,-104.5456479,0.4696798608,28,11,0,NULL
14:08:49,50.435595,-104.545674,1.677825438,27,12,0,NULL
14:09:22,50.4356873,-104.5466725,0.3299050874,26,14,0,NULL
14:09:55,50.4350227,-104.5469809,0.5423139134,26,13,0,NULL
14:10:27,50.4350688,-104.548086,0.2600177007,26,12,0,NULL
14:11:00,50.4344299,-104.5481209,0.2600177007,26,13,0,NULL
14:11:33,50.43442283,-104.549014,0.2600177007,26,12,0,NULL
14:12:06,50.4344205,-104.549012,0.2600177007,27,12,0,NULL
14:12:43,50.4344201,-104.54901,0.2600177007,27,12,0,NULL
